z	lambda	Re	Re_err	Im	Im_err
0.06	0.684144741635408	0.9215607680121476	0.0039172738918111785	-0.3137107975751191	0.004895147499489883
0.12	1.368289483270816	0.7766080477231517	0.011608072778979128	-0.624825455014111	0.008739216492730349
0.18	2.0524342249062237	0.4861966096760793	0.018474014230709882	-0.8227953699720572	0.013718029075931117
0.24	2.736578966541632	0.1643887688479443	0.02135064976303017	-0.8271298197357391	0.017331115535954122
0.3	3.42072370817704	-0.08828860126193516	0.0199341579695326	-0.6874489700788878	0.020543318114537912
0.36	4.1048684498124475	-0.22601474299949914	0.01990207713155079	-0.47168763332649855	0.022465129775001702
0.42	4.7890131914478555	-0.2594003979865843	0.019515089098804478	-0.2582981725593867	0.021552894481568302
0.48	5.473157933083264	-0.20427413302287856	0.01848103396871803	-0.102599654950154	0.023053557916862668
0.54	6.157302674718672	-0.11179454837615177	0.020324614188392705	-0.014954695613395352	0.022661759239325598
0.6000000000000001	6.841447416354081	-0.023634150358572525	0.023241528381752974	0.0025763804112350908	0.022760347819780487
0.6599999999999999	7.525592157989488	0.032561390076926156	0.02514570487671178	-0.015998170929464317	0.02519911115207777
0.72	8.209736899624895	0.045378633451355566	0.03019611876642885	-0.05249852390290377	0.024903207626948146
0.78	8.893881641260304	0.030121446812525987	0.031116131245046193	-0.07707092710238825	0.02541595818396036
0.8400000000000001	9.578026382895713	0.0009071693385301893	0.0298707119493515	-0.07653104097832003	0.02807155602769723
0.8999999999999999	10.262171124531118	-0.030723050108237282	0.030782059327794813	-0.05523797343603565	0.029494202274125636
0.96	10.946315866166527	-0.05567233601627908	0.032678185908759344	-0.014191320562330231	0.0324816884069881
1.02	11.630460607801936	-0.0649774609326621	0.03667316404263694	0.03762376302347084	0.03519445087347709
1.08	12.314605349437343	-0.04015659842683561	0.03604973924606533	0.07890445422549218	0.0423497824475316
1.1400000000000001	12.998750091072754	0.010275535084701082	0.044155033958371954	0.10045483240147814	0.04531176746695449
1.2	13.68289483270816	0.0555868458725656	0.04769769772956043	0.08579813728777749	0.04776635366444487
1.26	14.367039574343567	0.07035038399466423	0.054382021314945315	0.02950768143620218	0.04812998829910596
1.32	15.051184315978977	0.04926748619573357	0.06089199020310433	-0.03301624168161077	0.052500647506111296
1.38	15.735329057614383	0.004392426023471119	0.06235693110496868	-0.06671223713588692	0.06418984654018703
