x	lc_ft
-2.01	-0.0005958350811600677
-1.9999999999999998	-0.000907319486994948
-1.9899999999999998	-0.0012442933969916692
-1.9799999999999998	-0.0016058192933966278
-1.9699999999999998	-0.0019867506093071002
-1.9599999999999997	-0.002378575713515102
-1.9499999999999997	-0.0027712863430366594
-1.9399999999999997	-0.003155706352370495
-1.9299999999999997	-0.003525570339956874
-1.9199999999999997	-0.0038787140167594464
-1.9099999999999997	-0.004217008353299058
-1.8999999999999997	-0.004545055496152327
-1.8899999999999997	-0.004868047680671318
-1.8799999999999997	-0.005189452327082476
-1.8699999999999997	-0.0055092452380942625
-1.8599999999999997	-0.005823249586982
-1.8499999999999996	-0.006123800269888652
-1.8399999999999996	-0.006401544433803072
-1.8299999999999996	-0.0066478354852703425
-1.8199999999999996	-0.006856989444022618
-1.8099999999999996	-0.007027708758179985
-1.7999999999999996	-0.007163230244202186
-1.7899999999999996	-0.007270144577392577
-1.7799999999999996	-0.007356244967703589
-1.7699999999999996	-0.007428065536767704
-1.7599999999999996	-0.007488870844379686
-1.7499999999999996	-0.007537724067240313
-1.7399999999999995	-0.00756993198012447
-1.7299999999999995	-0.00757874040372164
-1.7199999999999995	-0.007557764739311301
-1.7099999999999995	-0.007503407346316826
-1.6999999999999995	-0.007416510292102885
-1.6899999999999995	-0.007302721446125794
-1.6799999999999995	-0.007171445047454976
-1.6699999999999995	-0.007033684499254109
-1.6599999999999995	-0.00689943044926751
-1.6499999999999995	-0.0067753934568495836
-1.6399999999999995	-0.00666378061587964
-1.6299999999999994	-0.00656249806626856
-1.6199999999999994	-0.006466722659499331
-1.6099999999999994	-0.006371360860947299
-1.5999999999999994	-0.006273633090821865
-1.5899999999999994	-0.006174975211102454
-1.5799999999999994	-0.006081652419537925
-1.5699999999999994	-0.00600387380127522
-1.5599999999999994	-0.005953658338475186
-1.5499999999999994	-0.005942092682535816
-1.5399999999999994	-0.005976816047804194
-1.5299999999999994	-0.0060605057939143725
-1.5199999999999994	-0.006190835158517365
-1.5099999999999993	-0.006361923329157762
-1.4999999999999993	-0.00656683590088445
-1.4899999999999993	-0.006800363860361244
-1.4799999999999993	-0.007061215204322839
-1.4699999999999993	-0.007352926788458926
-1.4599999999999993	-0.007683194101172325
-1.4499999999999993	-0.008061804779704515
-1.4399999999999993	-0.008497797579388622
-1.4299999999999993	-0.008996716453816084
-1.4199999999999993	-0.009558810437670512
-1.4099999999999993	-0.010178747028521055
-1.3999999999999992	-0.010846944498809706
-1.3899999999999992	-0.011552128331634798
-1.3799999999999992	-0.012284333453946625
-1.3699999999999992	-0.01303742743271339
-1.3599999999999992	-0.013810368515695143
-1.3499999999999992	-0.014606796677664909
-1.3399999999999992	-0.015433069393740978
-1.3299999999999992	-0.016295338933469662
-1.3199999999999992	-0.01719657370510208
-1.3099999999999992	-0.01813445550908962
-1.2999999999999992	-0.019100824949914434
-1.2899999999999991	-0.02008287564559081
-1.2799999999999991	-0.021065757939275086
-1.2699999999999991	-0.022035811254809523
-1.2599999999999991	-0.02298343936200016
-1.2499999999999991	-0.02390474129342439
-1.239999999999999	-0.024801385888094288
-1.229999999999999	-0.025678757097981092
-1.219999999999999	-0.026542935073008506
-1.209999999999999	-0.02739744760534192
-1.199999999999999	-0.028240810705749554
-1.189999999999999	-0.029065645823270057
-1.179999999999999	-0.02985968193716978
-1.169999999999999	-0.030608368825956918
-1.159999999999999	-0.03129832255637661
-1.149999999999999	-0.0319205536981444
-1.139999999999999	-0.03247248041219452
-1.129999999999999	-0.03295809105724735
-1.119999999999999	-0.03338618627600658
-1.109999999999999	-0.0337672260192082
-1.099999999999999	-0.03410974803355054
-1.089999999999999	-0.03441747153761267
-1.079999999999999	-0.034688002855137214
-1.069999999999999	-0.03491357453318766
-1.059999999999999	-0.03508362226457077
-1.049999999999999	-0.03518842751730933
-1.039999999999999	-0.03522270821214269
-1.029999999999999	-0.03518803631378103
-1.019999999999999	-0.03509330653794032
-1.009999999999999	-0.034953072932046206
-0.9999999999999989	-0.03478422971443658
-0.9899999999999989	-0.03460203540237945
-0.9799999999999989	-0.034416699966557225
-0.9699999999999989	-0.03423159959296735
-0.9599999999999989	-0.034043694277206944
-0.9499999999999988	-0.03384604626228406
-0.9399999999999988	-0.03363167965538179
-0.9299999999999988	-0.03339758850328274
-0.9199999999999988	-0.03314763114193648
-0.9099999999999988	-0.032893371199069266
-0.8999999999999988	-0.03265254721578755
-0.8899999999999988	-0.032445585643710514
-0.8799999999999988	-0.032291189923208695
-0.8699999999999988	-0.03220234674130318
-0.8599999999999988	-0.032183987190637864
-0.8499999999999988	-0.03223304931538317
-0.8399999999999987	-0.032340954568560495
-0.8299999999999987	-0.03249775769119417
-0.8199999999999987	-0.03269669170733607
-0.8099999999999987	-0.03293767928323196
-0.7999999999999987	-0.033228673841425735
