z	lambda	quasi_Re	quasi_Im	lc_Re	lc_Im
0.06	0.684144741635408	0.9292111244667756	-0.3160104596755134	0.936892272548771	-0.31926575032200805
0.12	1.368289483270816	0.7806451457250796	-0.6259921818316498	0.7925658145728293	-0.6393983485682212
0.18	2.0524342249062237	0.49284701622037874	-0.8272716256619368	0.4840865178094861	-0.8246605414427206
0.24	2.736578966541632	0.17002821108838234	-0.8448623040195773	0.1648999274091495	-0.8082516079552393
0.3	3.42072370817704	-0.09015411299423026	-0.7117717134656654	-0.07586508471198274	-0.6551561249913566
0.36	4.1048684498124475	-0.23176747480823406	-0.49619392926796546	-0.19802379796196043	-0.4355096808797623
0.42	4.7890131914478555	-0.27664729795831317	-0.27518925229220487	-0.23301834420365736	-0.2288106675892787
0.48	5.473157933083264	-0.22306439518355528	-0.11010934930326355	-0.16717035243399836	-0.08503678596183767
0.54	6.157302674718672	-0.12458395446743255	-0.015635955743405816	-0.07053933240491728	-0.009807606984248526
0.6000000000000001	6.841447416354081	-0.028292675803731737	0.005068205062411846	0.017487113768251836	-0.0055555000642218185
0.6599999999999999	7.525592157989488	0.035594878637564276	-0.016051140753143067	0.06755280219332856	-0.03813666245672289
0.72	8.209736899624895	0.0518495322320508	-0.06312167929282164	0.06958632076570552	-0.09189431902520992
0.78	8.893881641260304	0.03321805438246539	-0.0907956491895538	0.03907007401327274	-0.11691392861445084
0.8400000000000001	9.578026382895713	-0.0037660676473337817	-0.08932542692174744	-0.007927411831238733	-0.11394288622767973
0.8999999999999999	10.262171124531118	-0.039580069358276515	-0.06404746532465755	-0.04996408637149346	-0.08557235607286866
0.96	10.946315866166527	-0.06720756845893072	-0.019097601692026452	-0.07695816187022252	-0.036780862480457324
1.02	11.630460607801936	-0.07236624244564849	0.042178752132909864	-0.07561287770428218	0.022336387139599217
1.08	12.314605349437343	-0.04984281002227564	0.10230523378521161	-0.04536800278501262	0.06792404317349116
1.1400000000000001	12.998750091072754	0.012406119910503388	0.12991126136337974	0.012561029448987172	0.07771043780152653
1.2	13.68289483270816	0.07448158457713402	0.10529789117522918	0.05484885218656609	0.04641241489159906
1.26	14.367039574343567	0.09560405473006087	0.0326811763431383	0.06213019595416808	-0.012094470640269368
1.32	15.051184315978977	0.06306832232822979	-0.04813744570130696	0.0354647312814668	-0.06445521409482954
1.38	15.735329057614383	-0.003569287650967312	-0.09866973372323118	-0.008970516100334997	-0.0877673232685876
