lambda	lc_Re	lc_Im
-684.144741635408	-0.0003149456500552963	0.00011895551687746524
-683.4605968937725	-0.00031311187468933196	0.0002654806472261005
-682.776452152137	-0.00021915229524243309	0.0003779883089177551
-682.0923074105016	-7.52318338759804e-05	0.00040579651098855533
-681.4081626688661	5.385548142706243e-05	0.00033626018436148746
-680.7240179272306	0.0001098270666601708	0.00020057173064195685
-680.0398731855952	6.719577075320449e-05	5.9820716644241515e-05
-679.3557284439597	-5.5155778824799455e-05	-2.2457639252490628e-05
-678.6715837023243	-0.0002023661222269756	-8.909774480722127e-06
-677.9874389606888	-0.0003082231938292193	9.473149734408365e-05
-677.3032942190533	-0.00032497415457637526	0.0002421148291876936
-676.6191494774179	-0.0002448962565754747	0.0003670506258608303
-675.9350047357824	-0.00010388514311771825	0.0004132879069942056
-675.2508599941469	3.4605004009253756e-05	0.00035989230062174115
-674.5667152525115	0.00010808466357382255	0.00023077607444813876
-673.882570510876	8.319443911969612e-05	8.404248035714046e-05
-673.1984257692405	-2.9181688894563726e-05	-1.410786635453384e-05
-672.5142810276051	-0.000178701814614243	-1.9190525440660963e-05
-671.8301362859696	-0.00029814743131587106	7.145553686929194e-05
-671.1459915443342	-0.00033367193990956127	0.00021735521601074021
-670.4618468026987	-0.0002691047767587654	0.0003530216369978218
-669.7777020610632	-0.00013334165045020177	0.0004174021192894495
-669.0935573194278	1.25557166981581e-05	0.0003814058033089144
-668.4094125777923	0.00010279165233605095	0.00026110155182049004
-667.7252678361568	9.647686586874704e-05	0.0001105990519539954
-667.0411230945214	-3.875289501905222e-06	-2.23391525411271e-06
-666.3569783528859	-0.00015336297839843452	-2.6321080987289975e-05
-665.6728336112504	-0.0002848167046992746	4.95568974571701e-05
-664.988688869615	-0.00033901092012185696	0.0001915968868079204
-664.3045441279795	-0.0002913781485376455	0.000336084625956642
-663.620399386344	-0.0001631763906905345	0.0004180280830279416
-662.9362546447086	-1.2034174644068711e-05	0.0004004452775671671
-662.2521099030731	9.392216370706647e-05	0.00029110875176361435
-661.5679651614377	0.000106743610380867	0.00013916570066282622
-660.8838204198022	2.032433706409825e-05	1.3101649478411247e-05
-660.1996756781667	-0.0001267310603065492	-3.00722080410676e-05
-659.5155309365313	-0.0002683830149847867	2.945470279594215e-05
-658.8313861948958	-0.0003408448746750175	0.00016526102213415786
-658.1472414532603	-0.0003113374898820712	0.00031647356376353017
-657.4630967116249	-0.0001929485076282492	0.00041510722975591564
-656.7789519699894	-3.886094647134302e-05	0.0004166859611249615
-656.094807228354	8.150499735965803e-05	0.00032035321285103384
-655.4106624867185	0.00011373439388361056	0.0001693791554877505
-654.726517745083	4.298403659504979e-05	3.178156267305221e-05
-654.0423730034476	-9.921759151251481e-05	-3.0260867847659945e-05
-653.3582282618121	-0.0002490509977755036	1.1551282441671449e-05
-652.6740835201766	-0.0003390790954634541	0.00013878909267818072
-651.9899387785412	-0.00032863108055302054	0.00029447076814486934
-651.3057940369057	-0.0002222076532975984	0.0004086356838295352
-650.6216492952702	-6.757893257037517e-05	0.0004298394994889489
-649.9375045536348	6.56244908208803e-05	0.00034839215034597416
-649.2533598119993	0.00011723303062635807	0.00020084227223936748
-648.5692150703638	6.36833604088681e-05	5.363435551212326e-05
-647.8850703287284	-7.125861872709098e-05	-2.6754122496200095e-05
-647.2009255870929	-0.00022707608005827917	-3.7743848669165834e-06
-646.5167808454574	-0.00033367311145415357	0.00011263660620059119
-645.832636103822	-0.00034294043742110874	0.00027040377837739564
-645.1484913621865	-0.0002505006815321768	0.00039866568502886206
-644.464346620551	-9.780481743744293e-05	0.0004396592873703258
-643.7802018789156	4.642056916190426e-05	0.00037479131730521517
-643.0960571372801	0.000117071808413144	0.00023312932322215805
-642.4119123956447	8.202130990707183e-05	7.843568401758101e-05
-641.7277676540092	-4.330863438493693e-05	-1.9472375775096294e-05
-641.0436229123737	-0.00020276182716467945	-1.6173028883889227e-05
-640.3594781707383	-0.00032464265943305085	8.726649596625991e-05
-639.6753334291028	-0.00035398603230936664	0.0002446414746920905
-638.9911886874673	-0.0002773785428298895	0.00038530619892228167
-638.3070439458319	-0.00012912260028083018	0.000445945307657508
-637.6228992041964	2.4087956279222856e-05	0.0003991319006699691
-636.938754462561	0.00011313524094064217	0.00026579184494674867
-636.2546097209255	9.76229471711175e-05	0.00010591048806613734
-635.57046497929	-1.5834084948928776e-05	-8.391885145057193e-06
-634.8863202376546	-0.0001764565011556005	-2.5331147463895335e-05
-634.2021754960191	-0.0003120608546169093	6.31422409339184e-05
-633.5180307543836	-0.0003615325593574888	0.00021758948293733367
-632.8338860127482	-0.0003024032826488225	0.00036872268764860113
-632.1497412711127	-0.0001610891710734242	0.00044854838475742807
-631.4655965294772	-1.125459497321662e-06	0.00042101735075341523
-630.7814517878418	0.00010536312196473315	0.00029836496969288476
-630.0973070462063	0.00011014577035592733	0.00013573596772899104
-629.4131623045708	1.0693455793558862e-05	6.453509042993942e-06
-628.7290175629354	-0.00014854886388819327	-3.0976671318127874e-05
-628.0448728212999	-0.00029605852564163745	4.072081380787962e-05
-627.3607280796645	-0.00036539366354218495	0.00018968491654444445
-626.676583338029	-0.0003251550416714394	0.00034913602551024826
-625.9924385963935	-0.00019324042987749475	0.00044737377594982787
-625.3082938547581	-2.892110050534633e-05	0.00044008004136285013
-624.6241491131226	9.375282005708068e-05	0.0003303741580966644
-623.9400043714871	0.0001192857539332869	0.0001675453514916498
-623.2558596298517	3.580435481866811e-05	2.4971480646974277e-05
-622.5717148882162	-0.00011946326978610973	-3.288414085425223e-05
-621.8875701465807	-0.0002768236899137377	2.044555762104397e-05
-621.2034254049453	-0.00036543604799595326	0.00016139051864407316
-620.5192806633098	-0.00034523895439076975	0.00032682055595233996
-619.8351359216744	-0.00022509787125788908	0.00044238403245986237
-619.1509911800389	-5.8952998199554183e-05	0.0004559876580875759
-618.4668464384034	7.836076250788339e-05	0.000361342242313172
-617.782701696768	0.00012478295660354978	0.0002009324187971449
