mom	a	z	Re	Re_err	Im	Im_err
6	0.0574	0.06	0.9552063714603687	0.0002015290339143494	-0.19595974714733402	0.0007285634638485027
6	0.0574	0.12	0.830304993153892	0.0006570966372725361	-0.3570717471172734	0.0012302099220939946
6	0.0574	0.18	0.6485599101917505	0.0012001888298845964	-0.4550511191489564	0.001381744006684893
6	0.0574	0.24	0.45326768685461605	0.0016416258199493108	-0.48488464861728586	0.0013608320695079337
6	0.0574	0.3	0.2771388762505147	0.001875199990567844	-0.4592359085453731	0.0013234961499041242
6	0.0574	0.36	0.13724367185719477	0.002001606395557493	-0.3976374592774636	0.0012431414960193954
6	0.0574	0.42	0.03851650347041281	0.0017478723771320937	-0.31892310483930475	0.0011685761565548016
6	0.0574	0.48	-0.02255326364796168	0.0016241631874003223	-0.23815926486568106	0.0011710021419576444
6	0.0574	0.54	-0.05330221312982808	0.0014159170038734598	-0.1654312707172284	0.0011648748309660562
6	0.0574	0.6000000000000001	-0.06250782298219286	0.001145743138035629	-0.10613195242188263	0.0011187602613452197
6	0.0574	0.6599999999999999	-0.05846890983215167	0.0010547133954960655	-0.061842828415732784	0.00106376608709495
6	0.0574	0.72	-0.047732011865335586	0.0009688506206671083	-0.03147903950498358	0.0010057037285373866
6	0.0574	0.78	-0.035037590296272916	0.0008588363672205404	-0.012577896787416755	0.0009213229132648237
6	0.0574	0.8400000000000001	-0.023261944417388998	0.0007717677539494616	-0.002199847949748125	0.0008342167247182838
6	0.0574	0.8999999999999999	-0.013802878072963131	0.0007226178200824881	0.002484792869894015	0.000739221724163369
6	0.0574	0.96	-0.007061474041313908	0.0006788451420886733	0.003766157314847156	0.0006658730061748617
6	0.0574	1.02	-0.002806009878150098	0.000642495595096733	0.003309140274969676	0.0005652000884184163
6	0.0574	1.08	-0.0004589846148593524	0.0005930657186035412	0.002201774246067216	0.000535777116207623
6	0.0574	1.1400000000000001	0.0005801090427223709	0.000562721425693407	0.0010837526179595272	0.0005460668459804448
6	0.0574	1.2	0.0008428598458267874	0.0005757232787687958	0.0002202191375093945	0.0005336468678669115
6	0.0574	1.26	0.0007691653275324309	0.0005809223948379926	-0.0003016901542439037	0.0004745737684468734
6	0.0574	1.32	0.0005611840793903792	0.0005432011266157258	-0.000542037184446642	0.0004489973019584717
6	0.0574	1.38	0.0003683850691779581	0.0005082461958536037	-0.0005687745268102174	0.0004513085433922599
6	0.0574	1.44	0.00022893517903511848	0.0004489075155120373	-0.00048742729980369437	0.0004594507182419281
6	0.0574	1.5	0.00014300397088110896	0.00041533115633917594	-0.00040156153658736605	0.00043126714143485676
6	0.0882	0.06	0.968692205570961	0.00017168825223123907	-0.1923959074063121	0.0006694775758692982
6	0.0882	0.12	0.872257571103648	0.0005963631533240088	-0.3619999049299233	0.0011872886368318734
6	0.0882	0.18	0.7256587762313516	0.0010924165862206126	-0.48830468320274634	0.0014472203751337844
6	0.0882	0.24	0.5471230991950005	0.001574083784838143	-0.5555547722247707	0.0015816917788133988
6	0.0882	0.3	0.36534026133691944	0.0018717233241633546	-0.5639193158422275	0.001630653911069313
6	0.0882	0.36	0.20329962822181438	0.0021499545164793683	-0.5237442181535468	0.0017117251080888127
6	0.0882	0.42	0.07455253514894254	0.002218468909359756	-0.4512223215697726	0.001604620572590143
6	0.0882	0.48	-0.016181316538701255	0.0021585280852621006	-0.3627056526220377	0.0015995811405698503
6	0.0882	0.54	-0.07094835035782684	0.002086917295633317	-0.27209008356078945	0.0017141237565663214
6	0.0882	0.6000000000000001	-0.09573335316589296	0.002019413699327427	-0.1896365015090442	0.0016817749871611831
6	0.0882	0.6599999999999999	-0.09866790033830766	0.0018743247768780447	-0.12130392395983142	0.001574733400619907
6	0.0882	0.72	-0.08773257104005373	0.0016783195588604969	-0.06924526570190397	0.0016040343324745796
6	0.0882	0.78	-0.06987337428432747	0.0015535740510286694	-0.03321484771324637	0.0015199166308995024
6	0.0882	0.8400000000000001	-0.05042258771969095	0.0013182920546412347	-0.010738832448375459	0.001388542639002073
6	0.0882	0.8999999999999999	-0.03263688398061099	0.0012144862630204395	0.001225976477963435	0.0013357948324713344
6	0.0882	0.96	-0.01835329301095645	0.0010890006871697028	0.006008061389680992	0.001253875166732133
6	0.0882	1.02	-0.00814026589406064	0.0010467638832671504	0.006503983652160331	0.0011393222207052587
6	0.0882	1.08	-0.0016166849288383285	0.0009712972494469135	0.004687228699106221	0.001072097014642102
6	0.0882	1.1400000000000001	0.0018486612477853282	0.0008790961703158364	0.0022110378624293644	0.0010263997661812657
6	0.0882	1.2	0.0031649738134356693	0.0009010939993606043	-0.00012669294460726255	0.0009591129333362823
6	0.0882	1.26	0.0031013004702678927	0.0008259787919000031	-0.0018290662439502967	0.0008739897337247652
6	0.0882	1.32	0.0023606094742624722	0.0007956841457038851	-0.002802047790455638	0.0007568366817717357
6	0.0882	1.38	0.0013829452887444593	0.0008102219868775101	-0.00317520432799744	0.0007118992627669339
6	0.0882	1.44	0.000448236426837316	0.0007692710756321355	-0.0030435041499052573	0.000697824205611741
6	0.0882	1.5	-0.0002819451829730584	0.0007724462000360721	-0.0026315691442805886	0.0006961161965057749
6	0.1213	0.06	0.9780222200454216	0.00025754543675693403	-0.1906662908996657	0.0009863426956596701
6	0.1213	0.12	0.8948132484517719	0.0007932433423518681	-0.3622119107439117	0.0017118139234308938
6	0.1213	0.18	0.7651132999120194	0.0015539115107146007	-0.5006894904175994	0.002279793640504679
6	0.1213	0.24	0.6036383008093655	0.00239411481407259	-0.5922474102049902	0.0025756707161523895
6	0.1213	0.3	0.4263250785861264	0.0030679526572177647	-0.6264608796572735	0.002467317149170367
6	0.1213	0.36	0.25415146085714563	0.0034550527596370344	-0.6083668151624393	0.0024465814359070364
6	0.1213	0.42	0.10730154390087013	0.0036624317139373197	-0.5483446497840654	0.0023935226633637896
6	0.1213	0.48	-0.005481421931419324	0.003783339299639343	-0.4613591106150776	0.0024143039178133874
6	0.1213	0.54	-0.08090343130070912	0.0036361053082707012	-0.36330295950545277	0.0024764141206010675
6	0.1213	0.6000000000000001	-0.12228566704130789	0.0033503356817610325	-0.2661774635328181	0.0025183766586946987
6	0.1213	0.6599999999999999	-0.13556349042127755	0.002988547626934096	-0.18007280829747124	0.002523750333128017
6	0.1213	0.72	-0.12853431679803237	0.0028963857415550413	-0.10934393063001277	0.0026766981241407024
6	0.1213	0.78	-0.1095322727428018	0.002748614359595239	-0.0565726519843982	0.0025851334405362844
6	0.1213	0.8400000000000001	-0.08477139945722009	0.0024017455303006335	-0.02051824290502045	0.0024993586567565625
6	0.1213	0.8999999999999999	-0.05965861268784646	0.002058464449817395	0.001058531388495866	0.002228162095314669
6	0.1213	0.96	-0.03729769780227693	0.0019274801399105505	0.011556066587655324	0.002156849665743548
6	0.1213	1.02	-0.019639760357167	0.0017813979733090762	0.014309961051964727	0.0018997649016631764
6	0.1213	1.08	-0.007082353695145134	0.0017466272387106994	0.012515642421499001	0.0016208528025989496
6	0.1213	1.1400000000000001	0.0006575624483538165	0.0016746242380416075	0.008615885995676153	0.0015303544743682713
6	0.1213	1.2	0.004673619984203635	0.0015412109955131139	0.004287485487176865	0.0015029255863322436
6	0.1213	1.26	0.006104776593796785	0.001403991389044423	0.0005430784575797343	0.0015045019621285414
6	0.1213	1.32	0.005920428459898913	0.0014425985315775613	-0.002101489937427928	0.0014408673805554363
6	0.1213	1.38	0.004887700790140358	0.001427112216385214	-0.0037561272700690736	0.0013832150987175644
6	0.1213	1.44	0.0035279807146630865	0.0014197202437011341	-0.004449790664195883	0.0013064090719292177
6	0.1213	1.5	0.0023090700506281764	0.001395370750324251	-0.004497907158089528	0.0011893220657032627
8	0.0574	0.06	0.9392688599326029	0.00014701271088135573	-0.2563575288781385	0.0004085655306941272
8	0.0574	0.12	0.76962674474522	0.00048418949348483226	-0.45545170059055606	0.0006928965532521648
8	0.0574	0.18	0.5335309871608316	0.0008632443443931105	-0.5539325156518744	0.0007462938986083634
8	0.0574	0.24	0.2972142311395381	0.0011068352557098147	-0.5499272059490803	0.0006878162538287436
8	0.0574	0.3	0.10717062895444207	0.0011790331247610861	-0.47238289404518763	0.0006918218000271925
8	0.0574	0.36	-0.018190211138387362	0.0010445653970481	-0.35890204203477316	0.0007568842329767621
8	0.0574	0.42	-0.08167729315115829	0.0009110352050563097	-0.24197150262102768	0.000803365183147442
8	0.0574	0.48	-0.09807623318128017	0.0007784100888222205	-0.14296016472664447	0.0008016572199312789
8	0.0574	0.54	-0.08597119666330691	0.0007327967928232454	-0.07132747921039259	0.0007537794324777996
8	0.0574	0.6000000000000001	-0.06171821557874543	0.0006356104089574877	-0.02718101317272304	0.0006682669150427922
8	0.0574	0.6599999999999999	-0.03680834513035024	0.0005856276809210262	-0.005070702568501418	0.0005730876338918304
8	0.0574	0.72	-0.017372817373182164	0.0005152975361553125	0.002487203598831302	0.0005232719564818899
8	0.0574	0.78	-0.005123433984073951	0.0004820485161556847	0.002295491638293326	0.00047997081659419783
8	0.0574	0.8400000000000001	0.000734192403471076	0.00038327335636707837	-0.0006175341194437438	0.00039893200543070554
8	0.0574	0.8999999999999999	0.0022543801451337993	0.0003866135794109795	-0.0033808028116256933	0.0003784376471364947
8	0.0574	0.96	0.0014551087172943481	0.0003409069126482708	-0.00478602826762033	0.00035678912498665356
8	0.0574	1.02	-2.281311505722937e-06	0.0003257121034548477	-0.004745315643899578	0.0002993959179910539
8	0.0574	1.08	-0.0011817838297421613	0.00029020920448009387	-0.003782507767256487	0.00028601428889403957
8	0.0574	1.1400000000000001	-0.0017634435683909358	0.0002957738298187981	-0.002483600354300897	0.0002738239774416839
8	0.0574	1.2	-0.0017579215214431924	0.000268409948685788	-0.0012656355358837649	0.0002615911571752143
8	0.0574	1.26	-0.0013971399117280558	0.00023469728674896536	-0.0003444066671215108	0.00025709571577807103
8	0.0574	1.32	-0.000913964194760564	0.00022956967410377237	0.00019797679052303862	0.000253501961862528
8	0.0574	1.38	-0.0004847698827385236	0.000221075492864511	0.00040725341019995213	0.00024126030832215793
8	0.0574	1.44	-0.00018152127796710831	0.00022126544090873078	0.00042093717565119267	0.0002315270742182805
8	0.0574	1.5	-1.92613116833521e-05	0.000224050244499317	0.00035010480600065766	0.0002282248210381598
8	0.0882	0.06	0.9536481047710206	0.00020517166932276787	-0.2557414330646366	0.000676533667789192
8	0.0882	0.12	0.8088995110855535	0.0007723376541356464	-0.4681468515738599	0.001145141869966726
8	0.0882	0.18	0.5995753369979401	0.0013112849202426835	-0.6045700379030533	0.0013911252227850612
8	0.0882	0.24	0.36311045161617106	0.001708580467695675	-0.6420847647061068	0.001352747082005834
8	0.0882	0.3	0.1483201304078618	0.0019511009971099613	-0.5921423142544784	0.0012886275938874816
8	0.0882	0.36	-0.012521573730228597	0.001950015923660186	-0.48319073908527277	0.0013469003058425577
8	0.0882	0.42	-0.1078885250316679	0.0017772047998130674	-0.3502967883244462	0.0014502673779702158
8	0.0882	0.48	-0.1444395017192688	0.001602633613941501	-0.22309117440186238	0.0014801611618937283
8	0.0882	0.54	-0.137963299060748	0.0015505988028918782	-0.12030687499979975	0.0013579986875431327
8	0.0882	0.6000000000000001	-0.10753133551535275	0.0014301674545531967	-0.04988262059534421	0.0012488940128475151
8	0.0882	0.6599999999999999	-0.0698975658523626	0.0013301261324489	-0.01006543399298483	0.0012049858094992111
8	0.0882	0.72	-0.03620810439493186	0.0012172777238002308	0.006208353851919824	0.0011283882532455965
8	0.0882	0.78	-0.012273539036129117	0.00106551241920411	0.007627166819212803	0.0010713196362335962
8	0.0882	0.8400000000000001	0.0011588549939752259	0.0009494121648117742	0.0022839297054945197	0.0010389114696147037
8	0.0882	0.8999999999999999	0.006070049875515746	0.0009213137174778825	-0.004230849153375843	0.0009284857635330117
8	0.0882	0.96	0.005604741904764251	0.0008494092902562026	-0.008765825246376657	0.000920296625370156
8	0.0882	1.02	0.002742599315641932	0.0008114364241095578	-0.010490827360422186	0.0007913613189846675
8	0.0882	1.08	-0.000349517014927605	0.0007737147453192513	-0.009803224808315062	0.0008142825606456404
8	0.0882	1.1400000000000001	-0.002504081959069114	0.0007353623990171115	-0.007666323226562485	0.0007408236120131743
8	0.0882	1.2	-0.003384677242087345	0.0006760633768569262	-0.005119389082425483	0.0007042175946040005
8	0.0882	1.26	-0.0032707690647524263	0.0006297764820384333	-0.0028357473226880217	0.0006571795426345197
8	0.0882	1.32	-0.0025504836359813163	0.0006278547204498291	-0.0011664949103686703	0.0006702028830320655
8	0.0882	1.38	-0.0016297465509413711	0.0005921232741655212	-0.00015091155402001595	0.0006525713373286895
8	0.0882	1.44	-0.0007980262974712615	0.0005853361683584562	0.0002926201177330757	0.0006430425104831974
8	0.0882	1.5	-0.0001675543220853484	0.0005834286756454918	0.00036579319328585997	0.0005999664396073314
8	0.1213	0.06	0.9677973919860204	0.00018896673762969218	-0.2547578340455704	0.0005106605723632639
8	0.1213	0.12	0.8382275245910275	0.0005475656004703123	-0.46872584891105473	0.0008027387020755339
8	0.1213	0.18	0.644498435100113	0.0009807958490238855	-0.6219700182772752	0.0009191047674391716
8	0.1213	0.24	0.41988426257806566	0.00134486844088022	-0.6944373921376223	0.00110632878468242
