z	lambda	lc_Re	lc_Re_err	lc_Im	lc_Im_err
0.06	0.684144741635408	0.9311989896179638	0.004322020824368168	-0.3348990034944159	0.0018771840659158043
0.12	1.368289483270816	0.7897980515316736	0.009430211905379071	-0.6425128908634639	0.0074790900048485875
0.18	2.0524342249062237	0.49500710031159506	0.008889916701130318	-0.817895064627798	0.014410215929908765
0.24	2.736578966541632	0.165839913121375	0.003899263480557136	-0.8081839137856284	0.01914521790620272
0.3	3.42072370817704	-0.09156860093233492	0.002913492426879244	-0.6528600117934394	0.020962896003651976
0.36	4.1048684498124475	-0.22237241490106985	0.01021534334918342	-0.424395732335769	0.019492863327759125
0.42	4.7890131914478555	-0.23872036446709122	0.014652916607103437	-0.22128676286892207	0.013566993950829722
0.48	5.473157933083264	-0.17219074222676023	0.015484675674233395	-0.07366979921129642	0.006712160409307541
0.54	6.157302674718672	-0.07091573296682431	0.01964075901298154	-0.004471705366773252	0.0012599423137863303
0.6000000000000001	6.841447416354081	0.017117707621943146	0.02095504500505366	-0.004747176517602924	0.006071104603935311
0.6599999999999999	7.525592157989488	0.06416853257960384	0.019272108388778814	-0.046068894410711096	0.013790529940127366
0.72	8.209736899624895	0.06627442002912155	0.013550273814055871	-0.09507006505499116	0.019437880017449283
0.78	8.893881641260304	0.03225223520613554	0.006790010646340188	-0.11900093801954803	0.02491886631828745
0.8400000000000001	9.578026382895713	-0.008693036593959116	0.0018934276479798345	-0.11401125591565434	0.02464316038706527
0.8999999999999999	10.262171124531118	-0.0397303447317705	0.010833425465772067	-0.08921709714325238	0.02417132178108984
0.96	10.946315866166527	-0.054438405064054354	0.01881694719315717	-0.05728120030371009	0.019631488819311576
1.02	11.630460607801936	-0.051369680451575625	0.02680519209789077	-0.025611306964902956	0.013792993068159398
1.08	12.314605349437343	-0.0345748274303879	0.03183567034498063	-0.004869757047589654	0.004078204698782771
1.1400000000000001	12.998750091072754	-0.004055445585269376	0.03390176000389271	0.001242033298146322	0.007553347335588115
1.2	13.68289483270816	0.017298913641417626	0.030075777680850624	-0.010971449869490514	0.018726329447333045
1.26	14.367039574343567	0.029505034606398126	0.023385476000165616	-0.03696111419104704	0.0298477101816445
1.32	15.051184315978977	0.023377690130976528	0.012981782231152834	-0.06840485639756516	0.038438875907015994
1.38	15.735329057614383	-0.001745676331324865	0.0013533338473190036	-0.08967735317659767	0.04609973980530279
